Kaupunki;Puolue;Sukunimi;Etunimi;Vasemmisto;Liberaali;Vihreys
Askola;KD;Lehmusvuori;Timo;2,28;3,79;3,47
Askola;KD;Lehto;Hannu;1,7;4,49;4
Askola;KESK;Nirvi;Juho-Matti;2,97;2,95;2,04
Askola;KESK;Pitkänen;Asko;3,23;3,78;1,98
Askola;KESK;Sorsa;Simo;3,78;3,99;1,96
Askola;KESK;Berg;Anne;2,01;2,49;2,97
Askola;KESK;Pusula;Erkki;4,24;3,74;3,49
Askola;KESK;Laakso;Rauna;2,79;2,28;4,47
Askola;KESK;Merihaara;Olavi;2,26;3;4,53
Askola;KESK;Tummala;Jaana;2,95;3,99;4,47
Askola;KOK;Simelius-Nieminen;Saga;2,28;3,27;2,47
Askola;KOK;Suominen;Tero;4,01;3,45;3,03
Askola;KOK;Hämäläinen;Heli;2,95;3,8;3,49
Askola;KOK;Ellilä;Heikki;2,48;4,72;4,02
Askola;KOK;Honkasalo;Riku;2,25;4,29;3,96
Askola;KOK;Vettenranta;Jari;3,04;3,73;3,98
Askola;KOK;Vilkki;Jouni;3,46;2,45;3,95
Askola;KOK;Vilkki;Virpi;1,3;3,53;4,45
Askola;PS;Paganus;Tero;2,71;4,47;3,01
Askola;SDP;Felin;Ali;3,01;3,05;1,96
Askola;SDP;Helin;Maritta;2,45;4,53;3,03
Askola;SDP;Sintonen-Seger;Annukka;1,71;2,71;3,45
Askola;SDP;Falck;Hanna;1,98;3,26;4,04
Askola;SDP;Hämäläinen;Seija;1,46;3,51;3,96
Askola;VAS;Aaltonen;Tero;1,48;2,78;3,01
Askola;VAS;Sääski;Pia;1;2,53;5,04
Askola;VAS;Rumpunen;Joutsi;2,27;3,25;4,96
Askola;VIHR;Kärkkäinen;Tommi;1,73;2;3,5
Askola;VIHR;Tarvainen;Mika;2,53;1,95;4,04
Askola;VIHR;Kalilainen;Marjukka;2,3;2,22;5,05
Askola;VIHR;Stenbäck;Reija-Riikka;1,47;2,72;4,97
Askola;VIHR;Strömdahl;Keth;1,48;1,7;5,03
Espoo;ITSP;Finskas;Jan;1,73;2,79;3,04
Espoo;ITSP;Hiltunen;Eetu;1;4;4,99
Espoo;ITSP;Happo;Jarmo-Matti;0,98;2,95;5,01
Espoo;KD;Järvenpää;Pertti;2,76;4,04;2,03
Espoo;KD;Markkula;Paavo;3,03;4,24;1,96
Espoo;KD;Järvenpää;Kaarina;2,24;3,25;2,46
Espoo;KD;Kokkola;Hanna-Liisa;2,05;4,03;3,04
Espoo;KD;Maijala;Ville;2,51;3,29;2,95
Espoo;KD;Laukkonen;Elina;2,51;4,52;3,03
Espoo;KD;Hurmalainen;Ahti;3,53;4,05;3,5
Espoo;KD;Kalliola;Teemu;3,97;3,23;3,49
Espoo;KD;Rokala;Anja;2,8;4,03;3,53
Espoo;KD;Rajakari;Maria;2,26;4,22;3,53
Espoo;KD;Rasilainen;Antero;1,72;3;3,55
Espoo;KD;Ahteela;Jaana;2,03;3,78;3,95
Espoo;KD;Bollström;Harri;1,8;3,04;4,05
Espoo;KD;Hauta-aho;Mia-Maria;2,79;4,28;3,97
Espoo;KD;Kalliola;Kaija;3;3,98;4,03
Espoo;KD;Kangas;Mervi;1,72;3,99;3,99
Espoo;KD;Koivukoski;Jari;4,04;4,79;3,96
Espoo;KD;Piirto;Asmo;2,75;4,47;3,97
Espoo;KD;Polso;Antero;3,46;4,27;4,05
Espoo;KD;Tuomi;Sirpa;3,75;3,47;3,98
Espoo;KD;Vuorinen;Kristiina;2,2;3,72;4,01
Espoo;KD;Omondi;Daisy;2,5;4,2;4,03
Espoo;KD;Hallikainen;Linda;2,53;4,29;4,05
Espoo;KD;Drotár;Kristiina;2,45;3,78;4,46
Espoo;KD;Lappalainen;Ritva;2,53;3,27;4,55
Espoo;KD;Okkonen;Taru;3;3,98;4,55
Espoo;KD;Sarvi;Mari;1,48;4,52;4,5
Espoo;KD;Sundbäck;Aira;2,77;4,22;4,54
Espoo;KD;Tulijoki;Juha-Pekka;1,97;3,99;4,46
Espoo;KD;Aro;Irmeli;3,2;2,95;5,04
Espoo;KD;Davidsson;Harri;3,72;4,8;4,97
Espoo;KD;Helander;Mimosa;1,01;3,46;4,95
Espoo;KD;Karvo;Aki;1,75;3,78;5
Espoo;KD;Laato;Ester;3,55;4,01;4,98
Espoo;KD;Laukkanen;Antero;2,24;3,78;5
Espoo;KD;Romppanen;Hannele;3,02;3,72;5
Espoo;KESK;Hovi;Pasi;2,23;3,52;2,54
Espoo;KESK;Huvinen;Hannu;2,8;3,75;2,98
Espoo;KESK;Jäämaa;Juha;2,49;2,46;3,05
Espoo;KESK;Stedt;Reijo;1,74;3,96;2,95
Espoo;KESK;Tikanmäki;Johanna;2,51;2,02;2,98
Espoo;KESK;Tuokko;Jarmo;2,29;5;2,97
Espoo;KESK;Aho;Susanna;2,52;3,52;3,49
Espoo;KESK;Letchu;Lovisa;3,8;3,23;3,45
Espoo;KESK;Sarlund;Seppo;2,28;3,28;3,52
Espoo;KESK;Ahvenainen;Mikko;4,21;4,21;4,01
Espoo;KESK;Haarlaa;Topi;3,22;3,21;4
Espoo;KESK;Hintsala;Mikko;1,7;2,79;4,04
Espoo;KESK;Kelkka;Teemu;2,26;2,7;3,95
Espoo;KESK;Mäenpää;Anne-Maj;2,29;3,71;3,97
Espoo;KESK;Soronen;Markus;2,28;4,21;3,95
Espoo;KESK;Yliselä;Paula;2,73;1,98;3,98
Espoo;KESK;Kemppainen;Pentti;2,55;3,72;4,54
Espoo;KESK;Malkamäki;Mari;2,74;3,02;4,5
Espoo;KESK;Nevamäki;Riina;1,78;3,04;4,47
Espoo;KESK;Parkkila;Mikko;1,8;3,04;4,46
Espoo;KESK;Rossi;Yrjö;3,29;4,27;4,52
Espoo;KESK;Halttunen;Tiina;2,3;3,01;5,05
Espoo;KESK;Halttunen;Veikko;2,22;3,7;4,95
Espoo;KESK;Kuosmanen;Jorma;3,48;3,05;5,05
Espoo;KESK;Nurminen;Jari;4,04;3,53;5,01
Espoo;KESK;Paajanen;Ljudmila;2,05;4,75;5,03
Espoo;KESK;Pasanen;Manu;3,53;4,2;5,03
Espoo;KESK;Puirava;Alli;2;2,74;5,02
Espoo;KESK;Repo;Simo;2,03;1,7;4,99
Espoo;KESK;Salo;Seppo;2,5;4,72;4,97
Espoo;KOK;Mikkelson;Markku;4,76;3,71;1,04
Espoo;KOK;Aaltonen;Elena;4,2;3,49;1,53
Espoo;KOK;Koskinen;Jussi;3,71;3,5;1,52
Espoo;KOK;Ahtola;Anitra;2,29;2,29;2,03
Espoo;KOK;Antosalo;Henry;4,22;4,01;2,04
Espoo;KOK;Havu;Isto;4,28;3,28;1,95
Espoo;KOK;Jalonen;Jaana;3,46;2,45;1,98
Espoo;KOK;Tähtikunnas;Janne;4,2;3,8;2,04
Espoo;KOK;Kuusisto;Kari;4,26;3,96;1,98
Espoo;KOK;Kokkala;Paavo;3,23;2,75;2,45
Espoo;KOK;Lehtola;Ville;4,22;2,55;2,54
Espoo;KOK;Lintunen;Kai;4,02;3,28;2,46
Espoo;KOK;Malila;Jorma;3,21;3,27;2,46
Espoo;KOK;Meuronen;Esko;2,79;4,22;2,5
Espoo;KOK;Mykkänen;Jouni;3,51;3,53;2,52
Espoo;KOK;Nikkilä;Bjarne;3,3;3,04;2,53
Espoo;KOK;Räty;Teemu;4,24;2,95;2,55
Espoo;KOK;Sorvanto;Katariina;3,71;2,8;2,49
Espoo;KOK;Vesander;Katja;3,47;2,7;2,49
Espoo;KOK;Vuornos;Henrik;3,96;2,76;2,54
Espoo;KOK;Alaviiri;Kaisa;3,01;2,76;3,04
Espoo;KOK;Horsma;Johanna;4,26;2,73;2,95
Espoo;KOK;Hämäläinen;Esa;2,99;3,99;2,95
Espoo;KOK;Kemppi-Virtanen;Pirjo;4,02;4;3,02
Espoo;KOK;Kiljunen;Hanna;4,04;2,73;2,99
Espoo;KOK;Kotiranta;Pirjo;3,75;2,8;3
