Kaupunki;Puolue;Sukunimi;Etunimi;Vasemmisto;Liberaali;Vihreys
Askola;KESK;Nirvi;Juho-Matti;3;3;2
Askola;KESK;Pitkänen;Asko;3,25;3,75;2
Askola;KESK;Sorsa;Simo;3,75;4;2
Askola;SDP;Felin;Ali;3;3;2
Askola;KOK;Simelius-Nieminen;Saga;2,25;3,25;2,5
Askola;VAS;Aaltonen;Tero;1,5;2,75;3
Askola;KESK;Berg;Anne;2;2,5;3
Askola;SDP;Helin;Maritta;2,5;4,5;3
Askola;PS;Paganus;Tero;2,75;4,5;3
Askola;KOK;Suominen;Tero;4;3,5;3
Askola;VIHR;Kärkkäinen;Tommi;1,75;2;3,5
Askola;KD;Lehmusvuori;Timo;2,25;3,75;3,5
Askola;KESK;Pusula;Erkki;4,25;3,75;3,5
Askola;SDP;Sintonen-Seger;Annukka;1,75;2,75;3,5
Askola;KOK;Hämäläinen;Heli;3;3,75;3,5
Askola;VIHR;Tarvainen;Mika;2,5;2;4
Askola;KD;Lehto;Hannu;1,75;4,5;4
Askola;SDP;Falck;Hanna;2;3,25;4
Askola;SDP;Hämäläinen;Seija;1,5;3,5;4
Askola;KOK;Ellilä;Heikki;2,5;4,75;4
Askola;KOK;Honkasalo;Riku;2,25;4,25;4
Askola;KOK;Vettenranta;Jari;3;3,75;4
Askola;KOK;Vilkki;Jouni;3,5;2,5;4
Askola;KESK;Laakso;Rauna;2,75;2,25;4,5
Askola;KESK;Merihaara;Olavi;2,25;3;4,5
Askola;KESK;Tummala;Jaana;3;4;4,5
Askola;KOK;Vilkki;Virpi;1,25;3,5;4,5
Askola;VIHR;Kalilainen;Marjukka;2,25;2,25;5
Askola;VIHR;Stenbäck;Reija-Riikka;1,5;2,75;5
Askola;VIHR;Strömdahl;Keth;1,5;1,75;5
Askola;VAS;Sääski;Pia;1;2,5;5
Askola;VAS;Rumpunen;Joutsi;2,25;3,25;5
Espoo;PS;Ronkainen;Jari;1;3,75;1
Espoo;KOK;Mikkelson;Markku;4,75;3,75;1
Espoo;PS;Koitela;Mikko;1,25;3,25;1,5
Espoo;PS;Luukkainen;Aki;3,75;3;1,5
Espoo;PS;Pulkkanen;Petri;3;5;1,5
Espoo;PS;Ritari;Arto;3,75;3,75;1,5
Espoo;PS;Talme;Martti;1,5;4,25;1,5
Espoo;PS;Uotila;Juuso;5;3,75;1,5
Espoo;PS;Väliaho;Kim;3;3,75;1,5
Espoo;SDP;Simpura;Pekka;2;3,75;1,5
Espoo;KOK;Aaltonen;Elena;4,25;3,5;1,5
Espoo;KOK;Koskinen;Jussi;3,75;3,5;1,5
Espoo;PS;Elo;Simon;3,5;5;2
Espoo;PS;Grönroos;Simo;4,75;4,75;2
Espoo;PS;Kanerva;Jarmo;3,25;4,5;2
Espoo;PS;Karhu;Suvi;2,5;3,25;2
Espoo;PS;Koponen;Elena;3,5;4,5;2
Espoo;PS;Niskanen;Kari;4;4,25;2
Espoo;PS;Pajunen;Kari;1,5;4;2
Espoo;PS;Palonen;Matti;1,75;4,25;2
Espoo;PS;Raimesalo;Vesa;2,25;3;2
Espoo;PS;Riskilä;Marko;4,25;4,75;2
Espoo;PS;Saleva;Mikael;3;4,75;2
Espoo;PS;Tudose;Cristian;3;4,5;2
Espoo;KD;Järvenpää;Pertti;2,75;4;2
Espoo;KD;Markkula;Paavo;3;4,25;2
Espoo;M11;Yli-Paavola;Jussi;2;4,75;2
Espoo;SDP;Hirvelä;Ilkka;2;3;2
Espoo;KOK;Ahtola;Anitra;2,25;2,25;2
Espoo;KOK;Antosalo;Henry;4,25;4;2
Espoo;KOK;Havu;Isto;4,25;3,25;2
Espoo;KOK;Jalonen;Jaana;3,5;2,5;2
Espoo;KOK;Tähtikunnas;Janne;4,25;3,75;2
Espoo;RKP;Aqqa;Said;3;3,25;2
Espoo;RKP;Jern;Mikael;3;2;2
Espoo;RKP;Lindlöf;Andreas;2,75;3,25;2
Espoo;SDP;Kaasinen;Martti;2;2,75;2
Espoo;KOK;Kuusisto;Kari;4,25;4;2
Espoo;PIR;Jääskeläinen;Anni;3,5;2,75;2
Espoo;PIR;Kantojärvi;Jaakko;3,75;3,75;2
Espoo;PS;Haavisto;Kai;2,75;4,75;2,5
Espoo;PS;Maliniemi;Timo;1,75;4,25;2,5
Espoo;PS;Maununiemi;Marko;3,5;4,5;2,5
Espoo;PS;Rantanen;Janne;3,5;3,75;2,5
Espoo;PS;Soini;Timo;1,75;4,75;2,5
Espoo;PS;Ylönen;Ari;2,25;3,75;2,5
Espoo;VIHR;Tenkanen;Marjut;1;2,75;2,5
Espoo;KD;Järvenpää;Kaarina;2,25;3,25;2,5
Espoo;SDP;Juutinen;Vilho;1,25;3,75;2,5
Espoo;SDP;Kuusisto;Anneli;2,25;2,75;2,5
Espoo;KOK;Kokkala;Paavo;3,25;2,75;2,5
Espoo;KOK;Lehtola;Ville;4,25;2,5;2,5
Espoo;KOK;Lintunen;Kai;4;3,25;2,5
Espoo;KOK;Malila;Jorma;3,25;3,25;2,5
Espoo;KOK;Meuronen;Esko;2,75;4,25;2,5
Espoo;KOK;Mykkänen;Jouni;3,5;3,5;2,5
Espoo;KOK;Nikkilä;Bjarne;3,25;3;2,5
Espoo;KOK;Räty;Teemu;4,25;3;2,5
Espoo;KOK;Sorvanto;Katariina;3,75;2,75;2,5
Espoo;KOK;Vesander;Katja;3,5;2,75;2,5
Espoo;KOK;Vuornos;Henrik;4;2,75;2,5
Espoo;RKP;Fiskars;Yvonne;3,25;3,75;2,5
Espoo;RKP;Granberg;Fred;2,75;2,75;2,5
Espoo;RKP;Holmberg;Johan;3;3,5;2,5
Espoo;RKP;Storås;Roger;2,75;4;2,5
Espoo;KESK;Hovi;Pasi;2,25;3,5;2,5
Espoo;PS;Bergman;Markus;3;4,25;3
Espoo;PS;From;Nina;2,5;4;3
Espoo;PS;Huhta;Seppo;1,5;3,5;3
Espoo;PS;Kalliokoski;Raimo;2,5;4,5;3
Espoo;PS;Kassimäki;Esko;1,5;4,25;3
Espoo;PS;Kauppi;Piia;2,5;4;3
Espoo;PS;Kukkonen;Mervi;2;3,75;3
Espoo;PS;Kukkonen;Jarno;2,75;4,25;3
Espoo;PS;Kuntsi;Harri;1;4,25;3
Espoo;PS;Lahtinen;Teemu;4,75;4;3
Espoo;PS;Lahtinen;Ari;2,75;4;3
Espoo;PS;Lamsijärvi;Rauli;2,25;3,75;3
Espoo;PS;Löflund;Jonna;3,25;3,75;3
Espoo;PS;Nevalainen;Tommi;2,5;4,75;3
Espoo;PS;Parviainen;Harri;2;4,25;3
Espoo;PS;Rautio;Raimo;1,5;3;3
Espoo;PS;Saimalahti;Maija;3;4,75;3
Espoo;PS;Saukkonen;Pekka;3,75;3,5;3
Espoo;PS;Sonkeri;Seppo;2,25;3,5;3
Espoo;PS;Taipale;Maria;4;4,25;3
Espoo;PS;Tiainen;Jani;3;3,5;3
Espoo;PS;Äyhynmäki;Jari;3;3,75;3
Espoo;VIHR;Knuutila;Marko;2,25;2,25;3
Espoo;VIHR;Levänen;Mika;2,5;2,5;3
Espoo;VIHR;Merikoski;Hannele;1,75;2,75;3
Espoo;VIHR;Kaseorg;Egle;1,25;3,25;3
Espoo;VIHR;Lahtinen;Mikko;3,25;2,5;3
Espoo;VIHR;Loman;Teuvo;3,5;2;3
Espoo;KD;Kokkola;Hanna-Liisa;2;4;3
Espoo;KD;Maijala;Ville;2,5;3,25;3
Espoo;VAS;Kaukinen;Susanna;1;2;3
Espoo;VAS;Lindqvist;Markus;2,25;4;3
Espoo;VAS;Ruuska;Ari;2,75;3,5;3
